so_sanh,chi_so,base,variant,delta,ci_low,ci_high,p_value,b,c,ket_luan
Nấc 5 — + ACE (model gốc)  so với  Đối chứng — bullet ngẫu nhiên,pa_strict,05_ace_random_base,05_ace_base,0.0161,-0.0181,0.0483,0.40296,31,39,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 5c — ACE trên prompt cơ bản  so với  Nấc 1 — prompt cơ bản (danh sách phép toán + yêu cầu),ea,01_basic,05c_ace_basic_base,0.1871,0.1429,0.2334,0.0,26,119,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
Nấc 5c — ACE trên prompt cơ bản  so với  Nấc 1 — prompt cơ bản (danh sách phép toán + yêu cầu),pa_strict,01_basic,05c_ace_basic_base,0.169,0.1247,0.2133,0.0,29,113,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
self-consistency k=1→5 [08_tu_nhat_quan],ea,trước,sau,0.0362,0.0121,0.0604,0.0051,10,28,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
self-consistency k=1→5 [08_tu_nhat_quan],pa_strict,trước,sau,0.0443,0.0221,0.0684,0.0002,6,28,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
self-consistency k=1→5 [09_vidu_dong],ea,trước,sau,0.0262,0.006,0.0483,0.02412,8,21,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
self-consistency k=1→5 [09_vidu_dong],pa_strict,trước,sau,0.0241,0.002,0.0463,0.0501,10,22,⚠ chưa đạt mức ý nghĩa 0.05
ví dụ truy hồi (k=1),ea,trước,sau,0.0503,0.0121,0.0885,0.01146,33,58,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
ví dụ truy hồi (k=1),pa_strict,trước,sau,0.0604,0.0241,0.0986,0.00206,30,60,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
ví dụ truy hồi (k=5),ea,trước,sau,0.0402,0.0101,0.0724,0.01686,22,42,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
ví dụ truy hồi (k=5),pa_strict,trước,sau,0.0402,0.008,0.0744,0.02246,25,45,✅ cải tiến CÓ ý nghĩa (p < 0.05 và KTC không chứa 0)
"nhiệt độ 0.1 → cao (k=1, cùng prompt)",ea,trước,sau,0.0161,-0.0141,0.0483,0.38905,29,37,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
"nhiệt độ 0.1 → cao (k=1, cùng prompt)",pa_strict,trước,sau,-0.006,-0.0362,0.0241,0.79815,32,29,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 4 — + self-eval (model gốc) — có cổng so với không cổng,ea,04_selfeval_base,04_selfeval_base_cong,0.0,0.0,0.0,1.0,0,0,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
Nấc 5 — + ACE (model gốc) — có cổng so với không cổng,ea,05_ace_base,05_ace_base_cong,0.0,0.0,0.0,1.0,0,0,⚠ chưa phân biệt được với nhiễu (KTC chứa 0)
